date,portfolio_value
2023-05-03,79331.3422350001
2023-05-04,78750.3122350001
2023-05-05,80247.02223500011
2023-05-08,80270.30223500011
2023-05-09,79909.46223500012
2023-05-10,80247.02223500011
2023-05-11,80130.62223500012
2023-05-12,80039.44223500011
2023-05-15,80312.9822350001
2023-05-16,79781.42223500011
2023-05-17,80724.26223500012
2023-05-18,81514.8122350001
2023-05-19,81391.62223500012
2023-05-22,81428.4822350001
2023-05-23,80529.29223500012
2023-05-24,79918.19223500011
2023-05-25,80623.38223500011
2023-05-26,81659.3422350001
2023-05-30,81693.29223500012
2023-05-31,81251.94223500011
2023-06-01,82014.36223500012
2023-06-02,83167.69223500011
2023-06-05,83044.50223500012
2023-06-06,83224.92223500011
2023-06-07,82941.68223500012
2023-06-08,83446.08223500011
2023-06-09,83605.16223500011
2023-06-12,84348.18223500012
2023-06-13,84901.08223500011
2023-06-14,84992.26223500012
2023-06-15,86049.5622350001
2023-06-16,85407.42223500011
2023-06-20,85011.66223500011
2023-06-21,84548.00223500012
2023-06-22,84881.68223500012
2023-06-23,84220.14223500012
2023-06-26,83878.7022350001
2023-06-27,84798.26223500012
2023-06-28,84837.0622350001
2023-06-29,85186.26223500012
2023-06-30,86171.78223500012
2023-07-03,86301.76223500012
2023-07-05,86156.26223500012
2023-07-06,85486.96223500012
2023-07-07,85259.9822350001
2023-07-10,85479.2022350001
2023-07-11,86032.10223500011
2023-07-12,86711.10223500011
2023-07-13,87411.44223500011
2023-07-14,87357.12223500012
2023-07-17,87653.94223500011
2023-07-18,88305.78223500012
2023-07-19,88466.80223500011
2023-07-20,87925.54223500012
2023-07-21,87913.90223500012
2023-07-24,88299.96223500012
2023-07-25,88526.94223500011
2023-07-26,88555.07223500012
2023-07-27,87972.10223500011
2023-07-28,88827.64223500012
2023-07-31,89002.24223500011
2023-08-01,88736.46223500012
2023-08-02,87518.14223500012
2023-08-03,87269.82223500012
2023-08-04,86864.36223500012
2023-08-07,87619.02223500011
2023-08-08,87265.94223500011
2023-08-09,86660.66223500011
2023-08-10,86687.82223500012
2023-08-11,86586.94223500011
2023-08-14,87118.50223500012
2023-08-15,86115.52223500011
2023-08-16,85473.38223500011
2023-08-17,84821.54223500012
2023-08-18,84846.76223500012
2023-08-21,85415.18223500012
2023-08-22,85180.44223500011
2023-08-23,86125.22223500012
2023-08-24,84949.58223500011
2023-08-25,85543.22223500012
2023-08-28,86086.42223500011
2023-08-29,87329.96223500012
2023-08-30,87673.3422350001
2023-08-31,87525.90223500012
2023-09-01,87716.02223500011
2023-09-05,87343.54223500012
2023-09-06,86757.66223500011
2023-09-07,86493.82223500012
2023-09-08,86629.62223500012
2023-09-11,87203.86223500012
2023-09-12,86713.04223500012
2023-09-13,86800.3422350001
2023-09-14,87564.7022350001
2023-09-15,86188.27223500011
2023-09-18,86251.32223500012
2023-09-19,86055.38223500011
2023-09-20,85259.9822350001
2023-09-21,83859.30223500011
2023-09-22,83661.42223500011
2023-09-25,84039.72223500012
2023-09-26,82800.0622350001
2023-09-27,82816.55223500011
2023-09-28,83318.04223500012
2023-09-29,83083.30223500011
2023-10-02,83094.94223500011
2023-10-03,81993.02223500011
2023-10-04,82579.87223500012
2023-10-05,82503.24223500011
2023-10-06,83498.46223500012
2023-10-09,84041.66223500011
2023-10-10,84474.28223500012
2023-10-11,84835.12223500012
2023-10-12,84321.02223500011
2023-10-13,83922.35223500011
2023-10-16,84778.86223500012
2023-10-17,84792.44223500011
2023-10-18,83653.66223500011
2023-10-19,82914.52223500011
2023-10-20,81812.17640500012
2023-10-23,81819.93640500012
2023-10-24,81799.38016500013
2023-10-25,81783.60759000013
2023-10-26,81812.85759000013
2023-10-27,81824.55759000013
2023-10-30,81816.75759000014
2023-10-31,81810.90759000013
2023-11-01,81803.10759000013
2023-11-02,81704.94108000015
2023-11-03,82466.61108000015
2023-11-06,82649.94108000015
2023-11-07,82876.74108000014
2023-11-08,82978.80108000015
2023-11-09,82307.85108000014
2023-11-10,83600.61108000015
2023-11-13,83496.66108000015
2023-11-14,85101.27108000015
2023-11-15,85295.94108000015
2023-11-16,85401.78108000015
2023-11-17,85494.39108000015
2023-11-20,86159.67108000015
2023-11-21,85974.45108000014
2023-11-22,86299.53108000015
2023-11-24,86348.67108000015
2023-11-27,86207.86608000014
2023-11-28,86274.96108000015
2023-11-29,86235.27108000015
2023-11-30,86541.45108000014
2023-12-01,87053.64108000015
2023-12-04,86600.04108000014
2023-12-05,86598.15108000014
2023-12-06,86250.39108000015
2023-12-07,86906.22108000015
2023-12-08,87272.88108000014
2023-12-11,87614.97108000015
2023-12-12,88038.33108000015
2023-12-13,89236.59108000014
2023-12-14,89518.20108000014
2023-12-15,89011.68108000015
2023-12-18,89514.42108000015
2023-12-19,90037.95108000014
2023-12-20,88767.87108000014
2023-12-21,89641.05108000015
2023-12-22,89828.16108000015
2023-12-26,90198.60108000014
2023-12-27,90374.37108000014
2023-12-28,90402.72108000015
2023-12-29,90147.57108000015
2024-01-02,89637.27108000015
2024-01-03,88900.17108000015
2024-01-04,88631.79108000014
2024-01-05,88730.07108000015
2024-01-08,89990.70108000014
2024-01-09,89862.18108000015
2024-01-10,90366.81108000015
