date,portfolio_value
2022-09-22,95336.42833999998
2022-09-23,92069.9865
2022-09-26,91024.90649999998
2022-09-27,91054.54746
2022-09-28,91816.32138
2022-09-29,91816.32138
2022-09-30,91816.32138
2022-10-03,91816.32138
2022-10-04,91816.32138
2022-10-05,91816.32138
2022-10-06,91816.32138
2022-10-07,91816.32138
2022-10-10,91816.32138
2022-10-11,91816.32138
2022-10-12,91816.32138
2022-10-13,91816.32138
2022-10-14,91816.32138
2022-10-17,91816.32138
2022-10-18,91816.32138
2022-10-19,91816.32138
2022-10-20,91816.32138
2022-10-21,91816.32138
2022-10-24,91816.32138
2022-10-25,91816.32138
2022-10-26,91816.32138
2022-10-27,91816.32138
2022-10-28,91816.32138
2022-10-31,91816.32138
2022-11-01,91816.32138
2022-11-02,91770.47081999999
2022-11-03,91447.91081999999
2022-11-04,90756.59081999998
2022-11-07,90531.69089999999
2022-11-08,90531.69089999999
2022-11-09,90531.69089999999
2022-11-10,90531.69089999999
2022-11-11,90531.69089999999
2022-11-14,90486.46946
2022-11-15,90018.30945999999
2022-11-16,90377.78946
2022-11-17,90509.97029999999
2022-11-18,90509.97029999999
2022-11-21,90374.80896
2022-11-22,92196.28649999999
2022-11-23,92196.28649999999
2022-11-25,92196.28649999999
2022-11-28,92104.38709999999
2022-11-29,92602.9221
2022-11-30,92977.41397999998
2022-12-01,92977.41397999998
2022-12-02,92977.41397999998
2022-12-05,92838.411
2022-12-06,91644.27099999998
2022-12-07,91534.04099999997
2022-12-08,91743.12485999997
2022-12-09,90393.02851999998
2022-12-12,91810.25768999998
2022-12-13,91810.25768999998
2022-12-14,91810.25768999998
2022-12-15,91673.72023
2022-12-16,91325.32022999998
2022-12-19,91284.61022999999
2022-12-20,91160.61081
2022-12-21,92331.83854999999
2022-12-22,92331.83854999999
2022-12-23,92331.83854999999
2022-12-27,92285.80300999999
2022-12-28,91660.86694999998
2022-12-29,92894.31550999997
2022-12-30,92832.75550999997
2023-01-03,93076.21558999998
2023-01-04,93076.21558999998
2023-01-05,93029.69270999997
2023-01-06,93585.80214999997
2023-01-09,93585.80214999997
2023-01-10,93585.80214999997
2023-01-11,93585.80214999997
2023-01-12,93539.17014999998
2023-01-13,93460.11014999998
2023-01-17,93319.41014999998
2023-01-18,92879.62167999998
2023-01-19,91882.60667999997
2023-01-20,92108.67079999996
2023-01-23,92094.22789999997
2023-01-24,92219.83789999997
2023-01-25,92155.30437999997
2023-01-26,92155.30437999997
